CONTRACT,HOLDER,AUTH_LEVEL,PROD_TYPE,CONFIG,SALE_AMT,SALE_COST,DISCOUNT,INDUSTRY,PROFIT,LABEL
232964869,HOLDER003,2,PD_TYPE10,1,50,26,0.8,IND05,0.923076923,1
229646744,HOLDER016,4,PD_TYPE06,2,66300,63240,1,IND06,0.048387097,1
235349426,HOLDER001,4,PD_TYPE13,2,1368,930,0.6,IND06,0.470967742,1
234028489,HOLDER004,2,PD_TYPE03,1,288,183,0.6,IND05,0.573770492,1
239534464,HOLDER021,2,PD_TYPE02,2,1728,1050,0.6,IND05,0.645714286,1
234240812,HOLDER012,2,PD_TYPE11,2,6,3.8,0.8,IND05,0.578947368,1
239527147,HOLDER012,2,PD_TYPE12,2,45,18,0.5,IND05,1.5,1
234067577,HOLDER032,3,PD_TYPE03,1,588,438,0.7,IND06,0.342465753,1
237824187,HOLDER001,3,PD_TYPE03,2,456,356.4,0.8,IND06,0.27946128,1
71266332,HOLDER051,3,PD_TYPE02,2,14904,8424,0.6,IND06,0.769230769,0
75781255,HOLDER076,3,PD_TYPE02,1,432,312,0.7,IND04,0.384615385,0
76582122,HOLDER066,3,PD_TYPE02,1,828,468,0.6,IND06,0.769230769,0
76626695,HOLDER058,3,PD_TYPE02,2,840,294,0.4,IND06,1.857142857,0
75756831,HOLDER049,4,PD_TYPE10,2,20400,19770,1.0,IND06,0.031866464,0
77261302,HOLDER038,1,PD_TYPE02,1,85600,45600,0.5,IND03,0.877192982,0
77261303,HOLDER038,1,PD_TYPE02,2,86400,52500,0.6,IND03,0.645714286,0
77324705,HOLDER050,3,PD_TYPE02,1,7452,4212,0.6,IND06,0.769230769,0
77098947,HOLDER096,3,PD_TYPE02,1,828,468,0.6,IND06,0.769230769,0
76611781,HOLDER065,3,PD_TYPE02,2,7452,4212,0.6,IND04,0.769230769,0
